phi,theta,Value,image
0,0,16,prs_images/23341.vti_0.prs.png
0,1,16,prs_images/23341.vti_1.prs.png
0,2,16,prs_images/23341.vti_2.prs.png
0,3,16,prs_images/23341.vti_3.prs.png
0,4,16,prs_images/23341.vti_4.prs.png
0,5,16,prs_images/23341.vti_5.prs.png
1,0,16,prs_images/23341.vti_6.prs.png
1,1,16,prs_images/23341.vti_7.prs.png
1,2,16,prs_images/23341.vti_8.prs.png
1,3,16,prs_images/23341.vti_9.prs.png
1,4,16,prs_images/23341.vti_10.prs.png
1,5,16,prs_images/23341.vti_11.prs.png
2,0,16,prs_images/23341.vti_12.prs.png
2,1,16,prs_images/23341.vti_13.prs.png
2,2,16,prs_images/23341.vti_14.prs.png
2,3,16,prs_images/23341.vti_15.prs.png
2,4,16,prs_images/23341.vti_16.prs.png
2,5,16,prs_images/23341.vti_17.prs.png
3,0,16,prs_images/23341.vti_18.prs.png
3,1,16,prs_images/23341.vti_19.prs.png
3,2,16,prs_images/23341.vti_20.prs.png
3,3,16,prs_images/23341.vti_21.prs.png
3,4,16,prs_images/23341.vti_22.prs.png
3,5,16,prs_images/23341.vti_23.prs.png
0,0,17,prs_images/24095.vti_0.prs.png
0,1,17,prs_images/24095.vti_1.prs.png
0,2,17,prs_images/24095.vti_2.prs.png
0,3,17,prs_images/24095.vti_3.prs.png
0,4,17,prs_images/24095.vti_4.prs.png
0,5,17,prs_images/24095.vti_5.prs.png
1,0,17,prs_images/24095.vti_6.prs.png
1,1,17,prs_images/24095.vti_7.prs.png
1,2,17,prs_images/24095.vti_8.prs.png
1,3,17,prs_images/24095.vti_9.prs.png
1,4,17,prs_images/24095.vti_10.prs.png
1,5,17,prs_images/24095.vti_11.prs.png
2,0,17,prs_images/24095.vti_12.prs.png
2,1,17,prs_images/24095.vti_13.prs.png
2,2,17,prs_images/24095.vti_14.prs.png
2,3,17,prs_images/24095.vti_15.prs.png
2,4,17,prs_images/24095.vti_16.prs.png
2,5,17,prs_images/24095.vti_17.prs.png
3,0,17,prs_images/24095.vti_18.prs.png
3,1,17,prs_images/24095.vti_19.prs.png
3,2,17,prs_images/24095.vti_20.prs.png
3,3,17,prs_images/24095.vti_21.prs.png
3,4,17,prs_images/24095.vti_22.prs.png
3,5,17,prs_images/24095.vti_23.prs.png
0,0,18,prs_images/25659.vti_0.prs.png
0,1,18,prs_images/25659.vti_1.prs.png
0,2,18,prs_images/25659.vti_2.prs.png
0,3,18,prs_images/25659.vti_3.prs.png
0,4,18,prs_images/25659.vti_4.prs.png
0,5,18,prs_images/25659.vti_5.prs.png
1,0,18,prs_images/25659.vti_6.prs.png
1,1,18,prs_images/25659.vti_7.prs.png
1,2,18,prs_images/25659.vti_8.prs.png
1,3,18,prs_images/25659.vti_9.prs.png
1,4,18,prs_images/25659.vti_10.prs.png
1,5,18,prs_images/25659.vti_11.prs.png
2,0,18,prs_images/25659.vti_12.prs.png
2,1,18,prs_images/25659.vti_13.prs.png
2,2,18,prs_images/25659.vti_14.prs.png
2,3,18,prs_images/25659.vti_15.prs.png
2,4,18,prs_images/25659.vti_16.prs.png
2,5,18,prs_images/25659.vti_17.prs.png
3,0,18,prs_images/25659.vti_18.prs.png
3,1,18,prs_images/25659.vti_19.prs.png
3,2,18,prs_images/25659.vti_20.prs.png
3,3,18,prs_images/25659.vti_21.prs.png
3,4,18,prs_images/25659.vti_22.prs.png
3,5,18,prs_images/25659.vti_23.prs.png
0,0,19,prs_images/26103.vti_0.prs.png
0,1,19,prs_images/26103.vti_1.prs.png
0,2,19,prs_images/26103.vti_2.prs.png
0,3,19,prs_images/26103.vti_3.prs.png
0,4,19,prs_images/26103.vti_4.prs.png
0,5,19,prs_images/26103.vti_5.prs.png
1,0,19,prs_images/26103.vti_6.prs.png
1,1,19,prs_images/26103.vti_7.prs.png
1,2,19,prs_images/26103.vti_8.prs.png
1,3,19,prs_images/26103.vti_9.prs.png
1,4,19,prs_images/26103.vti_10.prs.png
1,5,19,prs_images/26103.vti_11.prs.png
2,0,19,prs_images/26103.vti_12.prs.png
2,1,19,prs_images/26103.vti_13.prs.png
2,2,19,prs_images/26103.vti_14.prs.png
2,3,19,prs_images/26103.vti_15.prs.png
2,4,19,prs_images/26103.vti_16.prs.png
2,5,19,prs_images/26103.vti_17.prs.png
3,0,19,prs_images/26103.vti_18.prs.png
3,1,19,prs_images/26103.vti_19.prs.png
3,2,19,prs_images/26103.vti_20.prs.png
3,3,19,prs_images/26103.vti_21.prs.png
3,4,19,prs_images/26103.vti_22.prs.png
3,5,19,prs_images/26103.vti_23.prs.png
0,0,20,prs_images/27970.vti_0.prs.png
0,1,20,prs_images/27970.vti_1.prs.png
0,2,20,prs_images/27970.vti_2.prs.png
0,3,20,prs_images/27970.vti_3.prs.png
0,4,20,prs_images/27970.vti_4.prs.png
0,5,20,prs_images/27970.vti_5.prs.png
1,0,20,prs_images/27970.vti_6.prs.png
1,1,20,prs_images/27970.vti_7.prs.png
1,2,20,prs_images/27970.vti_8.prs.png
1,3,20,prs_images/27970.vti_9.prs.png
1,4,20,prs_images/27970.vti_10.prs.png
1,5,20,prs_images/27970.vti_11.prs.png
2,0,20,prs_images/27970.vti_12.prs.png
2,1,20,prs_images/27970.vti_13.prs.png
2,2,20,prs_images/27970.vti_14.prs.png
2,3,20,prs_images/27970.vti_15.prs.png
2,4,20,prs_images/27970.vti_16.prs.png
2,5,20,prs_images/27970.vti_17.prs.png
3,0,20,prs_images/27970.vti_18.prs.png
3,1,20,prs_images/27970.vti_19.prs.png
3,2,20,prs_images/27970.vti_20.prs.png
3,3,20,prs_images/27970.vti_21.prs.png
3,4,20,prs_images/27970.vti_22.prs.png
3,5,20,prs_images/27970.vti_23.prs.png
0,0,21,prs_images/28245.vti_0.prs.png
0,1,21,prs_images/28245.vti_1.prs.png
0,2,21,prs_images/28245.vti_2.prs.png
0,3,21,prs_images/28245.vti_3.prs.png
0,4,21,prs_images/28245.vti_4.prs.png
0,5,21,prs_images/28245.vti_5.prs.png
1,0,21,prs_images/28245.vti_6.prs.png
1,1,21,prs_images/28245.vti_7.prs.png
1,2,21,prs_images/28245.vti_8.prs.png
1,3,21,prs_images/28245.vti_9.prs.png
1,4,21,prs_images/28245.vti_10.prs.png
1,5,21,prs_images/28245.vti_11.prs.png
2,0,21,prs_images/28245.vti_12.prs.png
2,1,21,prs_images/28245.vti_13.prs.png
2,2,21,prs_images/28245.vti_14.prs.png
2,3,21,prs_images/28245.vti_15.prs.png
2,4,21,prs_images/28245.vti_16.prs.png
2,5,21,prs_images/28245.vti_17.prs.png
3,0,21,prs_images/28245.vti_18.prs.png
3,1,21,prs_images/28245.vti_19.prs.png
3,2,21,prs_images/28245.vti_20.prs.png
3,3,21,prs_images/28245.vti_21.prs.png
3,4,21,prs_images/28245.vti_22.prs.png
3,5,21,prs_images/28245.vti_23.prs.png
0,0,22,prs_images/29693.vti_0.prs.png
0,1,22,prs_images/29693.vti_1.prs.png
0,2,22,prs_images/29693.vti_2.prs.png
0,3,22,prs_images/29693.vti_3.prs.png
0,4,22,prs_images/29693.vti_4.prs.png
0,5,22,prs_images/29693.vti_5.prs.png
1,0,22,prs_images/29693.vti_6.prs.png
1,1,22,prs_images/29693.vti_7.prs.png
1,2,22,prs_images/29693.vti_8.prs.png
1,3,22,prs_images/29693.vti_9.prs.png
1,4,22,prs_images/29693.vti_10.prs.png
1,5,22,prs_images/29693.vti_11.prs.png
2,0,22,prs_images/29693.vti_12.prs.png
2,1,22,prs_images/29693.vti_13.prs.png
2,2,22,prs_images/29693.vti_14.prs.png
2,3,22,prs_images/29693.vti_15.prs.png
2,4,22,prs_images/29693.vti_16.prs.png
2,5,22,prs_images/29693.vti_17.prs.png
3,0,22,prs_images/29693.vti_18.prs.png
3,1,22,prs_images/29693.vti_19.prs.png
3,2,22,prs_images/29693.vti_20.prs.png
3,3,22,prs_images/29693.vti_21.prs.png
3,4,22,prs_images/29693.vti_22.prs.png
3,5,22,prs_images/29693.vti_23.prs.png
0,0,23,prs_images/30068.vti_0.prs.png
0,1,23,prs_images/30068.vti_1.prs.png
0,2,23,prs_images/30068.vti_2.prs.png
0,3,23,prs_images/30068.vti_3.prs.png
0,4,23,prs_images/30068.vti_4.prs.png
0,5,23,prs_images/30068.vti_5.prs.png
1,0,23,prs_images/30068.vti_6.prs.png
1,1,23,prs_images/30068.vti_7.prs.png
1,2,23,prs_images/30068.vti_8.prs.png
1,3,23,prs_images/30068.vti_9.prs.png
1,4,23,prs_images/30068.vti_10.prs.png
1,5,23,prs_images/30068.vti_11.prs.png
2,0,23,prs_images/30068.vti_12.prs.png
2,1,23,prs_images/30068.vti_13.prs.png
2,2,23,prs_images/30068.vti_14.prs.png
2,3,23,prs_images/30068.vti_15.prs.png
2,4,23,prs_images/30068.vti_16.prs.png
2,5,23,prs_images/30068.vti_17.prs.png
3,0,23,prs_images/30068.vti_18.prs.png
3,1,23,prs_images/30068.vti_19.prs.png
3,2,23,prs_images/30068.vti_20.prs.png
3,3,23,prs_images/30068.vti_21.prs.png
3,4,23,prs_images/30068.vti_22.prs.png
3,5,23,prs_images/30068.vti_23.prs.png
0,0,24,prs_images/33719.vti_0.prs.png
0,1,24,prs_images/33719.vti_1.prs.png
0,2,24,prs_images/33719.vti_2.prs.png
0,3,24,prs_images/33719.vti_3.prs.png
