phi,theta,Value,image
2,2,23,tev_images/30068.vti_14.png
2,3,23,tev_images/30068.vti_15.png
2,4,23,tev_images/30068.vti_16.png
2,5,23,tev_images/30068.vti_17.png
3,0,23,tev_images/30068.vti_18.png
3,1,23,tev_images/30068.vti_19.png
3,2,23,tev_images/30068.vti_20.png
3,3,23,tev_images/30068.vti_21.png
3,4,23,tev_images/30068.vti_22.png
3,5,23,tev_images/30068.vti_23.png
0,0,24,tev_images/33719.vti_0.png
0,1,24,tev_images/33719.vti_1.png
0,2,24,tev_images/33719.vti_2.png
0,3,24,tev_images/33719.vti_3.png
0,4,24,tev_images/33719.vti_4.png
0,5,24,tev_images/33719.vti_5.png
1,0,24,tev_images/33719.vti_6.png
1,1,24,tev_images/33719.vti_7.png
1,2,24,tev_images/33719.vti_8.png
1,3,24,tev_images/33719.vti_9.png
1,4,24,tev_images/33719.vti_10.png
1,5,24,tev_images/33719.vti_11.png
2,0,24,tev_images/33719.vti_12.png
2,1,24,tev_images/33719.vti_13.png
2,2,24,tev_images/33719.vti_14.png
2,3,24,tev_images/33719.vti_15.png
2,4,24,tev_images/33719.vti_16.png
2,5,24,tev_images/33719.vti_17.png
3,0,24,tev_images/33719.vti_18.png
3,1,24,tev_images/33719.vti_19.png
3,2,24,tev_images/33719.vti_20.png
3,3,24,tev_images/33719.vti_21.png
3,4,24,tev_images/33719.vti_22.png
3,5,24,tev_images/33719.vti_23.png
0,0,25,tev_images/35332.vti_0.png
0,1,25,tev_images/35332.vti_1.png
0,2,25,tev_images/35332.vti_2.png
0,3,25,tev_images/35332.vti_3.png
0,4,25,tev_images/35332.vti_4.png
0,5,25,tev_images/35332.vti_5.png
1,0,25,tev_images/35332.vti_6.png
1,1,25,tev_images/35332.vti_7.png
1,2,25,tev_images/35332.vti_8.png
1,3,25,tev_images/35332.vti_9.png
1,4,25,tev_images/35332.vti_10.png
1,5,25,tev_images/35332.vti_11.png
2,0,25,tev_images/35332.vti_12.png
2,1,25,tev_images/35332.vti_13.png
2,2,25,tev_images/35332.vti_14.png
2,3,25,tev_images/35332.vti_15.png
2,4,25,tev_images/35332.vti_16.png
2,5,25,tev_images/35332.vti_17.png
3,0,25,tev_images/35332.vti_18.png
3,1,25,tev_images/35332.vti_19.png
3,2,25,tev_images/35332.vti_20.png
3,3,25,tev_images/35332.vti_21.png
3,4,25,tev_images/35332.vti_22.png
3,5,25,tev_images/35332.vti_23.png
0,0,26,tev_images/36069.vti_0.png
0,1,26,tev_images/36069.vti_1.png
0,2,26,tev_images/36069.vti_2.png
0,3,26,tev_images/36069.vti_3.png
0,4,26,tev_images/36069.vti_4.png
0,5,26,tev_images/36069.vti_5.png
1,0,26,tev_images/36069.vti_6.png
1,1,26,tev_images/36069.vti_7.png
1,2,26,tev_images/36069.vti_8.png
1,3,26,tev_images/36069.vti_9.png
1,4,26,tev_images/36069.vti_10.png
1,5,26,tev_images/36069.vti_11.png
2,0,26,tev_images/36069.vti_12.png
2,1,26,tev_images/36069.vti_13.png
2,2,26,tev_images/36069.vti_14.png
2,3,26,tev_images/36069.vti_15.png
2,4,26,tev_images/36069.vti_16.png
2,5,26,tev_images/36069.vti_17.png
3,0,26,tev_images/36069.vti_18.png
3,1,26,tev_images/36069.vti_19.png
3,2,26,tev_images/36069.vti_20.png
3,3,26,tev_images/36069.vti_21.png
3,4,26,tev_images/36069.vti_22.png
3,5,26,tev_images/36069.vti_23.png
0,0,27,tev_images/37669.vti_0.png
0,1,27,tev_images/37669.vti_1.png
0,2,27,tev_images/37669.vti_2.png
0,3,27,tev_images/37669.vti_3.png
0,4,27,tev_images/37669.vti_4.png
0,5,27,tev_images/37669.vti_5.png
1,0,27,tev_images/37669.vti_6.png
1,1,27,tev_images/37669.vti_7.png
1,2,27,tev_images/37669.vti_8.png
1,3,27,tev_images/37669.vti_9.png
1,4,27,tev_images/37669.vti_10.png
1,5,27,tev_images/37669.vti_11.png
2,0,27,tev_images/37669.vti_12.png
2,1,27,tev_images/37669.vti_13.png
2,2,27,tev_images/37669.vti_14.png
